"","year","unique_id","ccode","state_name","event_num_all","event_num","start","stop","alt_start","alt_stop","num_before_46","left_censored","new_tc","new_tc_dummy","num_tc","area","area_1000","area_1000_log","country_age","durable","elf","exist_tc","first_tc","first_tc_alt","first_tc_count","lmtnest","sf","sf_onset","state_fail","tc_persists_alt","tc_tally","Devel","birth_type","rivals_thom","rivals_gd","hs_capacity","hrp_mean","hrp_sd","kills_mean","kills_median","ciri_disap","ciri_kill","ciri_polpris","ciri_tort","pts_amnesty","pts_state","pts_hrw","hath_tort","ucdp_low","ucdp_best","ucdp_high","polity","polity2","polity_democ","polity_autoc","v2x_polyarchy","v2x_libdem","v2x_partipdem","v2x_egaldem","acd_inter_ongoing","acd_inter_onset","acd_intra_ongoing","acd_intra_onset","acd_any_ongoing","acd_any_onset","wbgdp2011est","wbgdppc2011est","wbpopest","sdpest","lag_hrp","lag_num_tc"
"1",1946,140.1946,140,"Brazil",7,1,0,1,0,1,9,1,0,0,0,8523620,8523.620117,9.050596426,125,0,0.549000025,0,NA,1,NA,1.4109869,0,0,0,0,9,0.100148246,4,1,0,NA,-0.047558122,0.521562914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,0,0.311,0.188,0.196,0.127,0,0,0,0,0,0,25.52,7.896,17.624,24.996,NA,0
"2",1946,100.1946,100,"Colombia",2,1,0,1,0,1,1,1,0,0,0,1142726,1142.725952,7.041171873,117,16,0.656000018,0,NA,1,NA,3.640214205,0,0,0,0,1,0.078981154,5,1,0,NA,-1.070727197,0.393080937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,1,0.282,0.196,0.099,0.076,0,0,0,0,0,0,24.351,8.211,16.14,23.998,NA,0
"3",1946,94.1946,94,"CostaRica",1,1,0,1,0,1,0,1,0,0,0,51403,51.40299988,3.939696534,107,27,0.238000005,0,0,0,107,3.144152403,0,0,0,0,0,0.018708827,5,0,0,NA,0.132685817,0.571211504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,1,0.33,0.242,0.168,0.2,0,0,0,0,0,0,21.535,8.091,13.444,21.126,NA,0
"4",1946,530.1946,530,"Ethiopia",1,1,0,1,0,1,0,1,0,0,0,1256379,1256.379028,7.135989075,6,0,0.75999999,0,0,0,6,4.268297672,0,0,0,0,0,0.000113009,6,0,0,NA,0.451776773,0.632880893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,-9,0,9,0.018,0.028,0.018,0.025,0,0,0,0,0,0,22.769,6.103,16.668,0,NA,0
"5",1946,90.1946,90,"Guatemala",4,1,0,1,0,1,4,1,0,0,0,109654,109.6539993,4.697329948,107,2,0.493000001,0,NA,1,NA,3.763522863,0,0,0,0,4,0.000874438,2,0,0,NA,-0.301175143,0.489782394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,1,0.355,0.218,0.21,0.145,0,0,0,0,0,0,22.888,8.188,14.701,22.525,NA,0
"6",1946,91.1946,91,"Honduras",2,1,0,1,0,1,1,1,0,0,0,112871,112.8710022,4.726245593,107,10,0.185000002,0,NA,1,NA,3.985273361,0,0,0,0,1,0,5,2,0,NA,0.33616186,0.606793516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-3,1,4,0.158,0.067,0.101,0.041,0,0,0,0,0,0,21.766,7.733,14.033,21.112,NA,0
"7",1946,850.1946,850,"Indonesia",1,1,0,1,0,1,0,1,0,0,0,1478049,1478.04895,7.29847822,2,0,0.765999973,0,0,0,2,2.44234705,0,0,0,0,0,0.095120974,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,2,0.166,0.12,0.099,0.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"8",1946,630.1946,630,"Iran",8,1,0,1,0,1,9,1,0,0,2,1626150,1626.150024,7.393970552,47,5,0.66900003,1,NA,1,NA,3.671224594,0,0,0,1,9,0.037371926,6,0,1,NA,-0.414575935,0.453018336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,1,0.167,0.102,0.044,0.072,0,0,0,0,0,0,24.507,7.99,16.518,24.043,NA,2
"9",1946,645.1946,645,"Iraq",1,1,0,1,0,1,0,1,0,0,0,437463,437.4630127,6.08099216,15,22,0.549000025,0,0,0,15,1.945910096,0,0,0,0,0,0.552005231,3,3,0,NA,-0.473883759,0.450688372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,-4,1,5,0.144,0.173,0.044,0.111,0,0,0,0,0,0,23.269,7.952,15.318,22.782,NA,0
"10",1946,663.1946,663,"Jordan",1,1,0,1,0,1,0,0,0,0,0,89491,89.49099731,4.494138032,1,0,0.509000003,0,0,0,1,2.721295357,0,0,0,0,0,0,3,3,0,NA,-0.064249604,0.527040016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,-9,0,9,0.097,0.146,0.043,0.144,0,0,0,0,0,0,21.305,7.812,13.494,20.719,NA,0
